GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Shell,de.weltraumschaf.commons.shell,NullCommandVerifier,0,4,0,0,0,2,0,2,0,2
Commons Shell,de.weltraumschaf.commons.shell,DefaultScanner,0,310,1,59,0,76,1,39,0,10
Commons Shell,de.weltraumschaf.commons.shell,SyntaxException,0,19,0,0,0,8,0,4,0,4
Commons Shell,de.weltraumschaf.commons.shell,ShellCommand,16,32,0,0,1,8,1,4,1,4
Commons Shell,de.weltraumschaf.commons.shell,LiteralCommandMap,54,136,4,10,4,30,4,14,0,11
Commons Shell,de.weltraumschaf.commons.shell,Scanners,0,12,0,0,0,3,0,2,0,2
Commons Shell,de.weltraumschaf.commons.shell,Parsers,0,32,0,0,0,6,0,5,0,5
Commons Shell,de.weltraumschaf.commons.shell,DefaultParser,18,103,2,8,1,25,2,5,0,2
Commons Shell,de.weltraumschaf.commons.characters,CharacterHelper,7,260,0,30,2,16,1,27,1,12
Commons Shell,de.weltraumschaf.commons.characters,CharacterStream,8,65,1,7,2,16,2,8,1,5
Commons Shell,de.weltraumschaf.commons.token,BaseToken.BooleanToken,0,31,0,4,0,5,0,6,0,4
Commons Shell,de.weltraumschaf.commons.token,BaseToken.LiteralToken,0,8,0,0,0,2,0,1,0,1
Commons Shell,de.weltraumschaf.commons.token,Null,8,0,0,0,3,0,2,0,2,0
Commons Shell,de.weltraumschaf.commons.token,BaseToken.IntegerToken,0,30,0,2,0,5,0,5,0,4
Commons Shell,de.weltraumschaf.commons.token,BaseToken.FloatToken,0,29,0,2,0,5,0,5,0,4
Commons Shell,de.weltraumschaf.commons.token,Position,2,133,3,7,1,20,3,11,0,9
Commons Shell,de.weltraumschaf.commons.token,BaseToken.StringToken,0,44,0,6,0,7,0,8,0,5
Commons Shell,de.weltraumschaf.commons.token,BaseToken.KeywordToken,0,8,0,0,0,2,0,1,0,1
Commons Shell,de.weltraumschaf.commons.token,BaseToken,60,62,10,0,5,12,7,7,2,7
Commons Shell,de.weltraumschaf.commons.token,Tokens,0,49,0,0,0,8,0,7,0,7
Commons Shell,de.weltraumschaf.commons.token,TokenType,9,69,0,0,0,7,2,2,2,2
