GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons System,de.weltraumschaf.commons.system,Environments.DefaultEnv,5,25,0,2,1,6,1,4,1,3
Commons System,de.weltraumschaf.commons.system,ExitableAdapter,0,8,0,0,0,3,0,2,0,2
Commons System,de.weltraumschaf.commons.system,Environments.Names,183,0,0,0,20,0,6,0,6,0
Commons System,de.weltraumschaf.commons.system,SystemProperties.Names,12,182,0,0,1,20,3,3,3,3
Commons System,de.weltraumschaf.commons.system,NullExiter,4,0,0,0,2,0,2,0,2,0
Commons System,de.weltraumschaf.commons.system,SystemProperties.DefaultProperties,0,34,0,0,0,7,0,5,0,5
Commons System,de.weltraumschaf.commons.system,OperatingSystem,5,100,0,6,0,19,1,9,1,6
Commons System,de.weltraumschaf.commons.system,BrowserLauncher.CliCommands,9,108,0,0,0,13,2,4,2,4
Commons System,de.weltraumschaf.commons.system,SystemProperties,3,5,0,0,2,1,1,1,1,1
Commons System,de.weltraumschaf.commons.system,Environments,3,5,0,0,2,1,1,1,1,1
Commons System,de.weltraumschaf.commons.system,BrowserLauncher,24,112,2,4,5,31,4,10,2,8
Commons System,de.weltraumschaf.commons.system,DefaultExiter,6,0,0,0,3,0,2,0,2,0
Commons System,de.weltraumschaf.commons.system,BrowserLauncher.new Object() {...},3,23,0,0,0,1,0,1,0,1
Commons System,de.weltraumschaf.commons.system,BrowserLauncher.DefaultExecutor,0,13,0,0,0,4,0,2,0,2
